Station ID,Station Name,First Year,Last Year,Year Range,Percent Complete,MSL Trends mm per yr,plus minus CI mm yr ,MSL Trend ft per century,95 CI ft century,Latitude,Longitude,City,State,ID,State,Location,Year Completed,Primary Funding Source,Justification,Length (ft),Volume (CY),Total Cost,Year Completed CPI,Adjusted Cost (2022),Total Cost/CY,Adjusted Cost/CY,CY/Foot,Current CPI,Other Info,Source Comment
1611400,"Nawiliwili, HI",1955-01-01,2023-01-01,69,100,1.79,0.39,0.59,0.13,21.9544,-159.3561,Nawiliwili,HI,5,AL,Sand Island Bar,1987-01-01,Federal,Demonstration,6000,464000,0,114.0,0.0,0.0,0.0,77.33,292.7,,http://www.wes.army.mil/el/dots/budm/facts/sandi.html
1612340,"Honolulu, HI",1905-01-01,2023-01-01,119,100,1.54,0.2,0.51,0.07,21.3033,-157.8645,Honolulu,HI,8,AL,Perdido Key,1986-01-01,Federal,Navigation,0,660000,1406977,110.0,3743837.89,2.13,5.67,660000.0,292.7,,138
1612480,"Mokuoloe, HI",1957-01-01,2023-01-01,67,84,1.66,0.49,0.55,0.16,21.4331,-157.79,Mokuoloe,HI,11,AL,Sand Island Bar,1988-01-01,Federal,Demonstration,500,1400,60000,118.0,148830.51,42.86,106.31,2.8,292.7,,http://www.southalabama.edu/cesrp/hbeach.htm
1615680,"Kahului, HI",1947-01-01,2023-01-01,77,96,2.21,0.37,0.73,0.12,20.8949,-156.469,Kahului,HI,17,AL,Gulf Shores,2001-01-01,Local,Shore Protection,16000,1800000,6000000,177.0,9922033.9,3.33,5.51,112.5,292.7,,http://www.weartv.com/news/Stories/may/0503/0503sands2.html
1617433,"Kawaihae, HI",1988-01-01,2023-01-01,36,92,3.55,1.05,1.16,0.34,20.0366,-155.8294,Kawaihae,HI,20,AL,Sand Island Bar,1988-01-01,Federal,Demonstration,10560,2000000,2000000,118.0,4961016.95,1.0,2.48,189.39,292.7,,http://www.weartv.com/news/Stories/may/0503/0503sands2.html
1617760,"Hilo, HI",1927-01-01,2023-01-01,97,85,3.11,0.28,1.02,0.09,19.7303,-155.0556,Hilo,HI,23,AL,Dauphin Island,2000-01-01,Federal,Emergency,13000,300000,1000000,172.0,1701744.19,3.33,5.67,23.08,292.7,,
1619910,"Midway Atoll, Unknown",1947-01-01,2023-01-01,77,96,1.56,0.38,0.51,0.13,28.2117,-177.36,Midway Atoll,Unknown,26,AL,Gulf Shores,2003-01-01,Federal,Emergency,17424,700000,2400000,184.0,3817826.09,3.43,5.45,40.17,292.7,,
1630000,"Apra Harbor, Guam",1993-01-01,2023-01-01,31,96,4.53,3.14,1.49,1.03,13.4434,144.6564,Apra Harbor,Guam,29,AL,Perdido Key,2002-01-01,Federal,Navigation,0,300000,0,180.0,0.0,0.0,0.0,300000.0,292.7,,
1770000,"Pago Pago, American Samoa",1948-01-01,2009-01-01,62,78,2.48,0.81,0.81,0.26,-14.28,-170.69,Pago Pago,American Samoa,32,AL,Gulf Shores/Orange Beach/Gulf State Park,2005-01-01,Federal,Emergency,77000,7900000,30900000,195.0,46381692.31,3.91,5.87,102.6,292.7,,
1820000,"Kwajalein, Marshall Islands",1946-01-01,2023-01-01,78,99,2.06,0.6,0.68,0.2,8.7317,167.7361,Kwajalein,Marshall Islands,38,AL,Sand Island Bar,2011-01-01,Federal,Shore Protection,0,1500000,6000000,224.9,7808803.91,4.0,5.21,1500000.0,292.7,,
