Station ID,Station Name,First Year,Last Year,Year Range,Percent Complete,MSL Trends mm per yr,plus minus CI mm yr ,MSL Trend ft per century,95 CI ft century,Latitude,Longitude
1611400,"Nawiliwili, HI",1955,2023,69,100,1.79,0.39,0.59,0.13,21.9544,-159.3561
1612340,"Honolulu, HI",1905,2023,119,100,1.54,0.2,0.51,0.07,21.3033,-157.8645
1612480,"Mokuoloe, HI",1957,2023,67,84,1.66,0.49,0.55,0.16,21.4331,-157.79
1615680,"Kahului, HI",1947,2023,77,96,2.21,0.37,0.73,0.12,20.8949,-156.469
1617433,"Kawaihae, HI",1988,2023,36,92,3.55,1.05,1.16,0.34,20.0366,-155.8294
1617760,"Hilo, HI",1927,2023,97,85,3.11,0.28,1.02,0.09,19.7303,-155.0556
1619910,Midway Atoll,1947,2023,77,96,1.56,0.38,0.51,0.13,28.2117,-177.36
1630000,"Apra Harbor, Guam",1993,2023,31,96,4.53,3.14,1.49,1.03,13.4434,144.6564
1770000,"Pago Pago, American Samoa",1948,2009,62,78,2.48,0.81,0.81,0.26,-14.28,-170.69
1820000,"Kwajalein, Marshall Islands",1946,2023,78,99,2.06,0.6,0.68,0.2,8.7317,167.7361
1890000,"Wake Island, Pacific Ocean",1950,2023,74,94,2.07,0.39,0.68,0.13,19.2906,166.6175
2695535,"Biological Station, Bermuda",1932,2023,92,88,2.26,0.33,0.74,0.11,32.37,-64.695
2695540,"St. Georges, Bermuda",1932,2019,88,88,2.17,0.36,0.71,0.12,32.3734,-64.7033
8410140,"Eastport, ME",1929,2023,95,97,2.28,0.16,0.75,0.05,44.9046,-66.9829
8411250,"Cutler, ME",1979,2010,32,94,2.34,0.61,0.77,0.2,44.6417,-67.2967
8413320,"Bar Harbor, ME",1947,2023,77,93,2.4,0.19,0.79,0.06,44.3922,-68.2043
8418150,"Portland, ME",1912,2023,112,100,1.95,0.14,0.64,0.04,43.6581,-70.2442
8419870,"Seavey Island, ME",1926,2023,98,76,2.17,0.18,0.71,0.06,43.0797,-70.7411
8423898,"Fort Point, NH",1926,2019,94,75,2.04,0.19,0.67,0.06,43.0714,-70.7106
8443970,"Boston, MA",1921,2023,103,100,2.94,0.15,0.96,0.05,42.3539,-71.0503
8447930,"Woods Hole, MA",1932,2023,92,96,3.07,0.17,1.01,0.06,41.5236,-70.6711
8449130,"Nantucket Island, MA",1965,2023,59,99,4.01,0.31,1.32,0.1,41.285,-70.0967
8452660,"Newport, RI",1930,2023,94,99,2.92,0.15,0.96,0.05,41.5043,-71.3261
8454000,"Providence, RI",1938,2023,86,88,2.56,0.23,0.84,0.08,41.8072,-71.4007
8461490,"New London, CT",1938,2023,86,98,2.87,0.21,0.94,0.07,41.3614,-72.09
8467150,"Bridgeport, CT",1964,2023,60,98,3.33,0.38,1.09,0.12,41.1758,-73.184
8510560,"Montauk, NY",1947,2023,77,95,3.53,0.24,1.16,0.08,41.0483,-71.9594
8516945,"Kings Point, NY",1931,2023,93,100,2.67,0.19,0.88,0.06,40.8103,-73.7649
8518750,"The Battery, NY",1856,2023,168,91,2.92,0.09,0.96,0.03,40.7006,-74.0142
8519483,"Bergen Point, NY",1981,2023,43,96,4.61,0.64,1.51,0.21,40.6391,-74.1463
8531680,"Sandy Hook, NJ",1932,2023,92,100,4.23,0.19,1.39,0.06,40.4669,-74.0094
8534720,"Atlantic City, NJ",1911,2023,113,96,4.21,0.15,1.38,0.05,39.3567,-74.4181
8536110,"Cape May, NJ",1965,2023,59,93,4.99,0.44,1.64,0.14,38.9683,-74.96
8545240,"Philadelphia, PA",1900,2023,124,98,3.11,0.18,1.02,0.06,39.9331,-75.142
8551910,"Reedy Point, DE",1956,2023,68,77,3.89,0.43,1.28,0.14,39.5583,-75.5719
8557380,"Lewes, DE",1919,2023,105,78,3.71,0.23,1.22,0.07,38.7828,-75.1193
8570283,"Ocean City, MD",1975,2023,49,74,5.15,0.69,1.69,0.23,38.3283,-75.0917
8571892,"Cambridge, MD",1943,2023,81,75,3.97,0.29,1.3,0.09,38.5725,-76.0617
8573364,"Tolchester Beach, MD",1971,2023,53,61,4.1,0.84,1.35,0.28,39.2134,-76.2446
8573927,"Chesapeake City, MD",1972,2023,52,61,4.35,0.6,1.43,0.2,39.5267,-75.81
8574680,"Baltimore, MD",1902,2023,122,100,3.27,0.12,1.07,0.04,39.2667,-76.5783
8575512,"Annapolis, MD",1928,2023,96,99,3.8,0.19,1.25,0.06,38.9833,-76.4816
8577330,"Solomons Island, MD",1937,2023,87,98,4.04,0.23,1.32,0.07,38.3172,-76.4508
8594900,"Washington, DC",1924,2023,100,94,3.49,0.26,1.15,0.09,38.8733,-77.0217
8631044,"Wachapreague, VA",1978,2023,46,94,5.63,0.59,1.85,0.19,37.6078,-75.6858
