Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Continent,Location,Dis Mag Value,Dis Mag Scale,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,Total Damages ('000 US$),CPI
1900,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,Galveston (Texas),220.0,Kph,1900,9.0,8.0,1900,9.0,8.0,6000.0,30000.0,3.221647271
1906,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,Florida,177.0,Kph,1906,,,1906,,,164.0,,3.479379053
1906,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,"Mississippi, Alabama, Pensacola",209.0,Kph,1906,,,1906,,,134.0,,3.479379053
1909,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,Grand Isle (Louisiana),249.0,Kph,1909,,,1909,,,350.0,,3.479379053
1909,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,Velasco (Texas),209.0,Kph,1909,,,1909,,,41.0,,3.479379053
1910,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,Florida,209.0,Kph,1910,,,1910,,,30.0,,3.608244944
1915,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,"Cavelston (Texas), New Orleans (Louisiana)",249.0,Kph,1915,8.0,,1915,8.0,,525.0,60000.0,3.917523082
1918,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,Louisiana (Southwest),209.0,Kph,1918,,,1918,,,34.0,,5.824738266
1919,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,"Florida Keys, South Texas",249.0,Kph,1919,9.0,,1919,9.0,,500.0,25000.0,6.713912913
1926,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,Louisiana,209.0,Kph,1926,,,1926,,,25.0,,6.855665393
1926,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,"Florida, Alabama, Pensacola",249.0,Kph,1926,9.0,,1926,9.0,,243.0,73000.0,6.855665393
1928,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,Lake Okeechobee (Florida),249.0,Kph,1928,9.0,,1928,9.0,,1836.0,25000.0,6.649479968
1932,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,Freeport (Texas),,Kph,1932,,,1932,,,40.0,,5.283501525
1933,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,South Texas,,Kph,1933,,,1933,,,40.0,,5.012883154
1935,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,Florida,249.0,Kph,1935,9.0,,1935,9.0,,408.0,6000.0,5.309274703
1938,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,New York,,Kph,1938,9.0,,1938,9.0,,600.0,306000.0,5.451027183
1940,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,"Georgia, Carolinas",177.0,Kph,1940,,,1940,,,50.0,,5.425254005
1944,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,East coast,209.0,Kph,1944,9.0,,1944,9.0,,390.0,100000.0,6.817005626
1947,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,"Florida, Louisiana",249.0,Kph,1947,9.0,,1947,9.0,,51.0,100000.0,8.646901276
1954,Natural,Meteorological,Storm,Tropical cyclone,,Carol,United States of America (the),USA,Americas,East Coast,,Kph,1954,8.0,,1954,8.0,,60.0,450000.0,10.39947739
1954,Natural,Meteorological,Storm,Tropical cyclone,,Hazel,United States of America (the),USA,Americas,"South Carolina, North Carolina",249.0,Kph,1954,10.0,,1954,10.0,,95.0,281000.0,10.39947739
1954,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,,,Kph,1954,9.0,,1954,9.0,,68.0,,10.39947739
1955,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,Connie (North Carolina),209.0,Kph,1955,,,1955,,,25.0,,10.34538148
1955,Natural,Meteorological,Storm,Tropical cyclone,,Diane,United States of America (the),USA,Americas,East Coast,152.0,Kph,1955,8.0,16.0,1955,8.0,16.0,184.0,832000.0,10.34538148
1957,Natural,Meteorological,Storm,Tropical cyclone,,Audrey,United States of America (the),USA,Americas,Gulf Coast,249.0,Kph,1957,6.0,26.0,1957,6.0,26.0,390.0,150000.0,10.85411263
1960,Natural,Meteorological,Storm,Tropical cyclone,,Donna,United States of America (the),USA,Americas,East Coast,,Kph,1960,9.0,9.0,1960,9.0,9.0,50.0,387000.0,11.42725138
1961,Natural,Meteorological,Storm,Tropical cyclone,,Carla,United States of America (the),USA,Americas,Texas,249.0,Kph,1961,9.0,11.0,1961,9.0,11.0,46.0,408000.0,11.54960108
1964,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,Louisiana,209.0,Kph,1964,10.0,,1964,10.0,,38.0,,11.98428136
1964,Natural,Meteorological,Storm,Tropical cyclone,,Dora,United States of America (the),USA,Americas,Florida,,Kph,1964,9.0,9.0,1964,9.0,9.0,5.0,250000.0,11.98428136
1965,Natural,Meteorological,Storm,Tropical cyclone,,Betsy,United States of America (the),USA,Americas,"Florida, Louisiana, Alabama, Mississippi",,Kph,1965,9.0,7.0,1965,9.0,7.0,299.0,1420000.0,12.17425308
1967,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Beulah,United States of America (the),USA,Americas,Texas,,Kph,1967,9.0,19.0,1967,9.0,19.0,15.0,200000.0,12.88906472
