Station ID,Station Name,First Year,Last Year,Year Range,Percent Complete,MSL Trends mm per yr,plus minus CI mm yr ,MSL Trend ft per century,95 CI ft century,Latitude,Longitude,City,State
1611400,"Nawiliwili, HI",1955-01-01,2023-01-01,69,100,1.79,0.39,0.59,0.13,21.9544,-159.3561,Nawiliwili,HI
1612340,"Honolulu, HI",1905-01-01,2023-01-01,119,100,1.54,0.2,0.51,0.07,21.3033,-157.8645,Honolulu,HI
1612480,"Mokuoloe, HI",1957-01-01,2023-01-01,67,84,1.66,0.49,0.55,0.16,21.4331,-157.79,Mokuoloe,HI
1615680,"Kahului, HI",1947-01-01,2023-01-01,77,96,2.21,0.37,0.73,0.12,20.8949,-156.469,Kahului,HI
1617433,"Kawaihae, HI",1988-01-01,2023-01-01,36,92,3.55,1.05,1.16,0.34,20.0366,-155.8294,Kawaihae,HI
1617760,"Hilo, HI",1927-01-01,2023-01-01,97,85,3.11,0.28,1.02,0.09,19.7303,-155.0556,Hilo,HI
1619910,"Midway Atoll, Unknown",1947-01-01,2023-01-01,77,96,1.56,0.38,0.51,0.13,28.2117,-177.36,Midway Atoll,Unknown
1630000,"Apra Harbor, Guam",1993-01-01,2023-01-01,31,96,4.53,3.14,1.49,1.03,13.4434,144.6564,Apra Harbor,Guam
1770000,"Pago Pago, American Samoa",1948-01-01,2009-01-01,62,78,2.48,0.81,0.81,0.26,-14.28,-170.69,Pago Pago,American Samoa
1820000,"Kwajalein, Marshall Islands",1946-01-01,2023-01-01,78,99,2.06,0.6,0.68,0.2,8.7317,167.7361,Kwajalein,Marshall Islands
1890000,"Wake Island, Pacific Ocean",1950-01-01,2023-01-01,74,94,2.07,0.39,0.68,0.13,19.2906,166.6175,Wake Island,Pacific Ocean
2695535,"Biological Station, Bermuda",1932-01-01,2023-01-01,92,88,2.26,0.33,0.74,0.11,32.37,-64.695,Biological Station,Bermuda
2695540,"St. Georges, Bermuda",1932-01-01,2019-01-01,88,88,2.17,0.36,0.71,0.12,32.3734,-64.7033,St. Georges,Bermuda
8410140,"Eastport, ME",1929-01-01,2023-01-01,95,97,2.28,0.16,0.75,0.05,44.9046,-66.9829,Eastport,ME
8411250,"Cutler, ME",1979-01-01,2010-01-01,32,94,2.34,0.61,0.77,0.2,44.6417,-67.2967,Cutler,ME
8413320,"Bar Harbor, ME",1947-01-01,2023-01-01,77,93,2.4,0.19,0.79,0.06,44.3922,-68.2043,Bar Harbor,ME
8418150,"Portland, ME",1912-01-01,2023-01-01,112,100,1.95,0.14,0.64,0.04,43.6581,-70.2442,Portland,ME
8419870,"Seavey Island, ME",1926-01-01,2023-01-01,98,76,2.17,0.18,0.71,0.06,43.0797,-70.7411,Seavey Island,ME
8423898,"Fort Point, NH",1926-01-01,2019-01-01,94,75,2.04,0.19,0.67,0.06,43.0714,-70.7106,Fort Point,NH
8443970,"Boston, MA",1921-01-01,2023-01-01,103,100,2.94,0.15,0.96,0.05,42.3539,-71.0503,Boston,MA
8447930,"Woods Hole, MA",1932-01-01,2023-01-01,92,96,3.07,0.17,1.01,0.06,41.5236,-70.6711,Woods Hole,MA
8449130,"Nantucket Island, MA",1965-01-01,2023-01-01,59,99,4.01,0.31,1.32,0.1,41.285,-70.0967,Nantucket Island,MA
8452660,"Newport, RI",1930-01-01,2023-01-01,94,99,2.92,0.15,0.96,0.05,41.5043,-71.3261,Newport,RI
8454000,"Providence, RI",1938-01-01,2023-01-01,86,88,2.56,0.23,0.84,0.08,41.8072,-71.4007,Providence,RI
8461490,"New London, CT",1938-01-01,2023-01-01,86,98,2.87,0.21,0.94,0.07,41.3614,-72.09,New London,CT
8467150,"Bridgeport, CT",1964-01-01,2023-01-01,60,98,3.33,0.38,1.09,0.12,41.1758,-73.184,Bridgeport,CT
8510560,"Montauk, NY",1947-01-01,2023-01-01,77,95,3.53,0.24,1.16,0.08,41.0483,-71.9594,Montauk,NY
8516945,"Kings Point, NY",1931-01-01,2023-01-01,93,100,2.67,0.19,0.88,0.06,40.8103,-73.7649,Kings Point,NY
8518750,"The Battery, NY",1856-01-01,2023-01-01,168,91,2.92,0.09,0.96,0.03,40.7006,-74.0142,The Battery,NY
8519483,"Bergen Point, NY",1981-01-01,2023-01-01,43,96,4.61,0.64,1.51,0.21,40.6391,-74.1463,Bergen Point,NY
8531680,"Sandy Hook, NJ",1932-01-01,2023-01-01,92,100,4.23,0.19,1.39,0.06,40.4669,-74.0094,Sandy Hook,NJ
8534720,"Atlantic City, NJ",1911-01-01,2023-01-01,113,96,4.21,0.15,1.38,0.05,39.3567,-74.4181,Atlantic City,NJ
8536110,"Cape May, NJ",1965-01-01,2023-01-01,59,93,4.99,0.44,1.64,0.14,38.9683,-74.96,Cape May,NJ
8545240,"Philadelphia, PA",1900-01-01,2023-01-01,124,98,3.11,0.18,1.02,0.06,39.9331,-75.142,Philadelphia,PA
8551910,"Reedy Point, DE",1956-01-01,2023-01-01,68,77,3.89,0.43,1.28,0.14,39.5583,-75.5719,Reedy Point,DE
8557380,"Lewes, DE",1919-01-01,2023-01-01,105,78,3.71,0.23,1.22,0.07,38.7828,-75.1193,Lewes,DE
8570283,"Ocean City, MD",1975-01-01,2023-01-01,49,74,5.15,0.69,1.69,0.23,38.3283,-75.0917,Ocean City,MD
8571892,"Cambridge, MD",1943-01-01,2023-01-01,81,75,3.97,0.29,1.3,0.09,38.5725,-76.0617,Cambridge,MD
8573364,"Tolchester Beach, MD",1971-01-01,2023-01-01,53,61,4.1,0.84,1.35,0.28,39.2134,-76.2446,Tolchester Beach,MD
8573927,"Chesapeake City, MD",1972-01-01,2023-01-01,52,61,4.35,0.6,1.43,0.2,39.5267,-75.81,Chesapeake City,MD
8574680,"Baltimore, MD",1902-01-01,2023-01-01,122,100,3.27,0.12,1.07,0.04,39.2667,-76.5783,Baltimore,MD
8575512,"Annapolis, MD",1928-01-01,2023-01-01,96,99,3.8,0.19,1.25,0.06,38.9833,-76.4816,Annapolis,MD
8577330,"Solomons Island, MD",1937-01-01,2023-01-01,87,98,4.04,0.23,1.32,0.07,38.3172,-76.4508,Solomons Island,MD
8594900,"Washington, DC",1924-01-01,2023-01-01,100,94,3.49,0.26,1.15,0.09,38.8733,-77.0217,Washington,DC
8631044,"Wachapreague, VA",1978-01-01,2023-01-01,46,94,5.63,0.59,1.85,0.19,37.6078,-75.6858,Wachapreague,VA
8632200,"Kiptopeke, VA",1951-01-01,2023-01-01,73,100,3.95,0.29,1.3,0.1,37.1652,-75.9884,Kiptopeke,VA
8635027,"Dahlgren, VA",1972-01-01,2023-01-01,52,81,5.63,0.59,1.85,0.19,38.3198,-77.0366,Dahlgren,VA
8635750,"Lewisetta, VA",1970-01-01,2023-01-01,54,97,5.87,0.54,1.93,0.18,37.9954,-76.4646,Lewisetta,VA
8636580,"Windmill Point, VA",1982-01-01,2023-01-01,42,42,6.8,1.15,2.23,0.38,37.6155,-76.2898,Windmill Point,VA
8637689,"Yorktown, VA",1950-01-01,2023-01-01,74,97,4.81,0.31,1.58,0.1,37.2265,-76.4788,Yorktown,VA
8638610,"Sewells Point, VA",1927-01-01,2023-01-01,97,100,4.79,0.21,1.57,0.07,36.9428,-76.3286,Sewells Point,VA
8638863,"Chesapeake Bay Bridge Tunnel, VA",1975-01-01,2017-01-01,43,100,5.92,0.72,1.94,0.23,36.9667,-76.1133,Chesapeake Bay Bridge Tunnel,VA
8638901,"Chesapeake Channel, VA",1975-01-01,2023-01-01,49,99,6.14,0.56,2.01,0.18,37.0329,-76.0833,Chesapeake Channel,VA
8651370,"Duck, NC",1978-01-01,2023-01-01,46,100,4.88,0.56,1.6,0.18,36.1833,-75.7467,Duck,NC
8652587,"Oregon Inlet Marina, NC",1977-01-01,2023-01-01,47,66,5.56,0.96,1.82,0.31,35.7957,-75.5482,Oregon Inlet Marina,NC
8656483,"Beaufort, NC",1953-01-01,2023-01-01,71,89,3.55,0.34,1.16,0.11,34.7173,-76.6707,Beaufort,NC
8658120,"Wilmington, NC",1935-01-01,2023-01-01,89,99,2.73,0.34,0.9,0.11,34.2275,-77.9536,Wilmington,NC
8661070,"Springmaid Pier, SC",1957-01-01,2023-01-01,67,86,3.29,0.48,1.08,0.16,33.6556,-78.9164,Springmaid Pier,SC
8665530,"Charleston, SC",1901-01-01,2023-01-01,123,86,3.48,0.19,1.14,0.06,32.7808,-79.9236,Charleston,SC
8670870,"Fort Pulaski, GA",1935-01-01,2023-01-01,89,98,3.61,0.27,1.18,0.09,32.0347,-80.903,Fort Pulaski,GA
8720030,"Fernandina Beach, FL",1897-01-01,2023-01-01,127,88,2.28,0.17,0.75,0.06,30.6714,-81.4658,Fernandina Beach,FL
8720218,"Mayport, FL",1928-01-01,2023-01-01,96,100,2.89,0.25,0.95,0.08,30.3982,-81.4279,Mayport,FL
8721604,"Port Canaveral, FL",1994-01-01,2023-01-01,30,100,6.62,1.44,2.17,0.47,28.4158,-80.5931,Port Canaveral,FL
8722670,"Lake Worth Pier, FL",1970-01-01,2023-01-01,54,50,4.16,0.53,1.37,0.17,26.6128,-80.0342,Lake Worth Pier,FL
8723214,"Virginia Key, FL",1931-01-01,2023-01-01,93,94,3.16,0.22,1.04,0.07,25.7314,-80.1618,Virginia Key,FL
8723970,"Vaca Key, FL",1971-01-01,2023-01-01,53,94,4.21,0.42,1.38,0.14,24.711,-81.1065,Vaca Key,FL
8724580,"Key West, FL",1913-01-01,2023-01-01,111,99,2.61,0.15,0.86,0.05,24.5557,-81.8079,Key West,FL
8725110,"Naples, FL",1965-01-01,2023-01-01,59,98,3.35,0.42,1.1,0.14,26.1317,-81.8075,Naples,FL
8725520,"Fort Myers, FL",1965-01-01,2023-01-01,59,98,3.57,0.42,1.17,0.14,26.6478,-81.8711,Fort Myers,FL
8726384,"Port Manatee, FL",1976-01-01,2023-01-01,48,58,5.5,0.68,1.8,0.22,27.6387,-82.5621,Port Manatee,FL
8726520,"St. Petersburg, FL",1947-01-01,2023-01-01,77,100,3.09,0.23,1.01,0.08,27.7611,-82.6269,St. Petersburg,FL
8726674,"East Bay, FL",1976-01-01,2023-01-01,48,53,5.8,0.85,1.9,0.28,27.9231,-82.4214,East Bay,FL
8726724,"Clearwater Beach, FL",1973-01-01,2023-01-01,51,91,4.33,0.52,1.42,0.17,27.9783,-82.8317,Clearwater Beach,FL
8727520,"Cedar Key, FL",1914-01-01,2023-01-01,110,88,2.35,0.18,0.77,0.06,29.135,-83.0317,Cedar Key,FL
8728690,"Apalachicola, FL",1967-01-01,2023-01-01,57,96,3.02,0.57,0.99,0.19,29.7244,-84.9806,Apalachicola,FL
8729108,"Panama City, FL",1973-01-01,2023-01-01,51,98,3.1,0.55,1.02,0.18,30.1497,-85.6644,Panama City,FL
8729210,"Panama City Beach, FL",1989-01-01,2023-01-01,35,83,5.1,0.84,1.67,0.28,30.2138,-85.8786,Panama City Beach,FL
8729840,"Pensacola, FL",1923-01-01,2023-01-01,101,99,2.69,0.23,0.88,0.08,30.4044,-87.2112,Pensacola,FL
8735180,"Dauphin Island, AL",1966-01-01,2023-01-01,58,87,4.41,0.55,1.45,0.18,30.25,-88.075,Dauphin Island,AL
8737048,"Mobile State Docks, AL",1980-01-01,2023-01-01,44,43,4.85,1.31,1.59,0.43,30.7046,-88.0396,Mobile State Docks,AL
8747437,"Bay Waveland, MS",1978-01-01,2023-01-01,46,92,4.7,0.68,1.54,0.22,30.3263,-89.3258,Bay Waveland,MS
8761724,"Grand Isle, LA",1947-01-01,2023-01-01,77,96,9.16,0.37,3.01,0.12,29.2633,-89.9567,Grand Isle,LA
8761927,"New Canal, LA",1982-01-01,2023-01-01,42,67,6.16,1.02,2.02,0.33,30.0272,-90.1133,New Canal,LA
8770570,"Sabine Pass, TX",1958-01-01,2020-01-01,63,88,6.16,0.74,2.02,0.24,29.7284,-93.8701,Sabine Pass,TX
8770613,"Morgans Point, TX",1993-01-01,2023-01-01,31,97,3.98,1.35,1.3,0.44,29.6817,-94.985,Morgans Point,TX
8770822,"Texas Point, TX",1958-01-01,2023-01-01,66,88,5.78,0.64,1.9,0.21,29.6893,-93.8418,Texas Point,TX
8771013,"Eagle Point, TX",1993-01-01,2023-01-01,31,99,12.93,1.43,4.24,0.47,29.4813,-94.9173,Eagle Point,TX
8771341,"Galveston Bay Entrance, TX",1957-01-01,2023-01-01,67,89,6.56,0.52,2.15,0.17,29.3575,-94.7247,Galveston Bay Entrance,TX
8771450,"Galveston Pier 21, TX",1904-01-01,2023-01-01,120,100,6.65,0.21,2.18,0.07,29.31,-94.7933,Galveston Pier 21,TX
